size_rank,year,avg_annual_rent,renter_income,owner_income,total_income,rent_to_income,yoy_rent_growth,yoy_income_growth,growth_gap
28,2017,11452.6314676,34227,80907,61653,0.334608100844363,0.046518614011095,0.0319283646888567,0.0145902493222382
28,2018,11979.0554187,36093,82233,62743,0.331894146197324,0.0459653270594864,0.0545183626961171,-0.00855303563663071
28,2019,12584.40214,37103,88843,66825,0.339174787483492,0.0505337608134793,0.027983265453135,0.0225504953603443
28,2020,13247.551957,36228,85895,66435,0.365671634012366,0.052696171786513,-0.0235829986793521,0.076279170465865
28,2021,14246.588501,38059,89157,70818,0.374329028639744,0.0754129175898127,0.0505410179971293,0.0248718995926834
28,2022,15717.312569,41240,94951,75062,0.381118151527643,0.103233420962272,0.0835807561943298,0.0196526647679422
28,2023,16736.182321,46122,100518,77844,0.36286766230866,0.0648246796344539,0.118380213385063,-0.0535555337506091
28,2024,17560.93612,47687,103472,81489,0.368254159833917,0.0492796853655881,0.0339317462382377,0.0153479391273504
29,2015,14302.083713,45233,90060,67195,0.316186936816041,,,
29,2016,14788.36953,49657,97198,71000,0.297810369736392,0.034001046753627,0.097804700108328,-0.063803653354701
29,2017,15183.441984,50304,98445,73800,0.301833690839695,0.0267150785756705,0.0130293815574843,0.0136856970181861
29,2018,15617.187437,51442,102743,76925,0.30358826322849,0.028567004336505,0.0226224554707379,0.00594454886576705
29,2019,16334.300815,54871,107308,80954,0.297685495343624,0.0459182154848846,0.0666575949613157,-0.0207393794764311
29,2020,16568.549225,54469,106572,80852,0.304183099102242,0.0143408899256274,-0.0073262743525724,0.0216671642781998
29,2021,18489.669903,56078,111809,86530,0.329713433128856,0.115949842796209,0.0295397381997099,0.0864101045964992
29,2022,20892.561312,66100,122713,94604,0.316075057670197,0.129958588855614,0.17871536074753,-0.0487567718919161
29,2023,20684.859334,65380,129560,98508,0.316379004802692,-0.00994143201966835,-0.01089258698941,0.000951154969741637
29,2024,19906.07096,70008,136933,99897,0.284339946291852,-0.0376501653419462,0.0707861731416335,-0.10843633848358
30,2015,11945.6630616,37037,68794,51552,0.322533225196425,,,
30,2016,12436.371147,39487,71177,54384,0.314948493098995,0.0410783464148931,0.0661500661500661,-0.025071719735173
30,2017,13146.881006,42172,73347,57189,0.311744309162477,0.0571316062058341,0.0679970623243093,-0.0108654561184751
30,2018,14064.004638,41219,76966,57076,0.341201985443606,0.0697597880121866,-0.0225979322773404,0.092357720289527
30,2019,14962.091686,44872,80737,62107,0.333439376136566,0.0638571353690702,0.0886241781702613,-0.0247670428011911
30,2020,15588.868245,44333,79161,61048,0.351631250874067,0.0418909716738653,-0.012011945088251,0.0539029167621163
30,2021,18230.123031,43428,83624,63677,0.419778093188726,0.169432106583309,-0.0204136873209573,0.189845793904266
30,2022,20285.438557,50558,90527,70797,0.401231032813798,0.112742822552814,0.164179791839366,-0.0514369692865522
30,2023,20152.440839,54971,95390,75065,0.366601314129268,-0.00655631465034845,0.087285889473476,-0.0938422041238245
