size_rank,year,avg_monthly_rent,avg_annual_rent
30,2024,1712.47641975,20549.717037
31,2015,881.22653515,10574.7184218
31,2016,914.131751666667,10969.58102
31,2017,952.783039033333,11433.3964684
31,2018,988.3199548,11859.8394576
31,2019,1026.34578041667,12316.149365
31,2020,1075.38559066667,12904.627088
31,2021,1153.93862691667,13847.263523
31,2022,1266.22548566667,15194.705828
31,2023,1341.01725441667,16092.207053
31,2024,1408.46631233333,16901.595748
32,2015,897.223750875,10766.6850105
32,2016,932.496087616667,11189.9530514
32,2017,977.418530841667,11729.0223701
32,2018,1029.86177576667,12358.3413092
32,2019,1074.60424008333,12895.250881
32,2020,1125.98751741667,13511.850209
32,2021,1211.8012415,14541.614898
32,2022,1321.71069433333,15860.528332
32,2023,1389.19056225,16670.286747
32,2024,1447.67807583333,17372.13691
34,2015,883.493827941667,10601.9259353
34,2016,905.814314141667,10869.7717697
34,2017,935.478565958333,11225.7427915
34,2018,973.818952008333,11685.8274241
34,2019,1013.73438286667,12164.8125944
34,2020,1073.42486025,12881.098323
34,2021,1173.67432583333,14084.09191
34,2022,1302.03075616667,15624.369074
34,2023,1370.95783866667,16451.494064
34,2024,1432.8016265,17193.619518
35,2015,818.6967954,9824.3615448
35,2016,836.189629083333,10034.275549
35,2017,860.777105033333,10329.3252604
35,2018,890.999381208333,10691.9925745
35,2019,931.107938708333,11173.2952645
35,2020,983.364757175,11800.3770861
35,2021,1062.37530083333,12748.50361
35,2022,1158.46251366667,13901.550164
35,2023,1221.942666,14663.311992
35,2024,1305.4220015,15665.064018
36,2015,2593.87269133333,31126.472296
36,2016,2691.93964258333,32303.275711
36,2017,2763.95522383333,33167.462686
36,2018,2864.996906,34379.962872
36,2019,2935.23827408333,35222.859289
36,2020,2881.4942565,34577.931078
36,2021,2837.790289,34053.483468
36,2022,3096.32481358333,37155.897763
36,2023,3153.63769116667,37843.652294
36,2024,3246.85620683333,38962.274482
37,2015,1165.73147875,13988.777745
37,2016,1227.15099683333,14725.811962
37,2017,1280.487902,15365.854824
37,2018,1318.74386425,15824.926371
37,2019,1365.94555233333,16391.346628
37,2020,1407.20652175,16886.478261
37,2021,1536.42220258333,18437.066431
37,2022,1738.70162408333,20864.419489
37,2023,1773.2872475,21279.44697
37,2024,1782.23139316667,21386.776718
38,2015,1079.27011775,12951.241413
38,2016,1091.098752,13093.185024
38,2017,1116.53241991667,13398.389039
38,2018,1144.554065,13734.64878
38,2019,1183.5040855,14202.049026
38,2020,1234.00188925,14808.022671
38,2021,1390.04471066667,16680.536528
38,2022,1526.43964175,18317.275701
38,2023,1600.23277691667,19202.793323
38,2024,1673.92657625,20087.118915
39,2015,1062.47548158333,12749.705779
39,2016,1116.08217691667,13392.986123
39,2017,1173.68277966667,14084.193356
39,2018,1243.19056483333,14918.286778
39,2019,1307.79107933333,15693.492952
39,2020,1380.45225666667,16565.42708
39,2021,1534.65513758333,18415.861651
39,2022,1713.51089275,20562.130713
39,2023,1839.22876391667,22070.745167
39,2024,1956.95965191667,23483.515823
40,2015,1012.65497525,12151.859703
40,2016,1047.00722416667,12564.08669
40,2017,1090.26158641667,13083.139037
40,2018,1147.3460305,13768.152366
40,2019,1196.89808908333,14362.777069
40,2020,1246.87294575,14962.475349
40,2021,1424.630896,17095.570752
40,2022,1614.49692725,19373.963127
40,2023,1649.05720641667,19788.686477
40,2024,1661.15492541667,19933.859105
41,2015,970.809087591667,11649.7090511
41,2016,989.84997185,11878.1996622
41,2017,1013.47858275,12161.742993
41,2018,1042.52151991667,12510.258239
41,2019,1076.40481833333,12916.85782
41,2020,1112.76010891667,13353.121307
41,2021,1173.5999815,14083.199778
41,2022,1264.34270783333,15172.112494
41,2023,1341.57792375,16098.935085
41,2024,1404.21876675,16850.625201
42,2015,926.939479958333,11123.2737595
42,2016,935.451590241667,11225.4190829
42,2017,945.189756958333,11342.2770835
42,2018,967.639030491667,11611.6683659
42,2019,998.729518208333,11984.7542185
42,2020,1031.82007533333,12381.840904
42,2021,1123.63334016667,13483.600082
42,2022,1227.8274545,14733.929454
42,2023,1270.73323591667,15248.798831
42,2024,1311.60392775,15739.247133
43,2015,1082.00125925,12984.015111
43,2016,1119.5580825,13434.69699
43,2017,1159.7442935,13916.931522
43,2018,1204.26346166667,14451.16154
43,2019,1246.85439666667,14962.25276
43,2020,1288.03210533333,15456.385264
43,2021,1423.03119625,17076.374355
43,2022,1605.27903658333,19263.348439
43,2023,1649.44516433333,19793.341972
43,2024,1651.85827041667,19822.299245
44,2015,892.652730633333,10711.8327676
44,2016,906.799356825,10881.5922819
44,2017,924.700860783333,11096.4103294
44,2018,954.250557583333,11451.006691
44,2019,990.896791366667,11890.7614964
44,2020,1066.05075308333,12792.609037
44,2021,1201.34423575,14416.130829
44,2022,1312.85796441667,15754.295573
44,2023,1354.599393,16255.192716
44,2024,1399.62255941667,16795.470713
45,2015,982.652558908333,11791.8307069
45,2016,1010.21511775833,12122.5814131
45,2017,1051.74596266667,12620.951552
45,2018,1101.3302615,13215.963138
45,2019,1149.68776916667,13796.25323
45,2020,1198.26807391667,14379.216887
45,2021,1311.38169583333,15736.58035
45,2022,1465.95383458333,17591.446015
45,2023,1518.057848,18216.694176
45,2024,1588.182539,19058.190468
46,2015,828.760326483333,9945.1239178
46,2016,858.974352175,10307.6922261
46,2017,902.996762383333,10835.9611486
46,2018,935.282029708333,11223.3843565
46,2019,966.320277033333,11595.8433244
46,2020,1005.08120978333,12060.9745174
46,2021,1063.4371605,12761.245926
46,2022,1174.36441325,14092.372959
46,2023,1242.53094058333,14910.371287
46,2024,1316.64028808333,15799.683457
47,2015,1151.9717465,13823.660958
47,2016,1168.83667516667,14026.040102
47,2017,1180.62308791667,14167.477055
47,2018,1204.22396633333,14450.687596
47,2019,1239.83861175,14878.063341
47,2020,1276.99596241667,15323.951549
47,2021,1365.1689475,16382.02737
47,2022,1502.28050641667,18027.366077
47,2023,1533.151155,18397.81386
47,2024,1573.6761705,18884.114046
48,2015,973.054169358333,11676.6500323
48,2016,1026.29713516667,12315.565622
48,2017,1084.69068116667,13016.288174
48,2018,1148.92847925,13787.141751
48,2019,1206.70006308333,14480.400757
48,2020,1244.70353466667,14936.442416
48,2021,1391.963726,16703.564712
48,2022,1576.90864658333,18922.903759
48,2023,1601.00365233333,19212.043828
48,2024,1618.0553955,19416.664746
49,2015,1152.90713741667,13834.885649
49,2016,1176.01130308333,14112.135637
49,2017,1204.01967983333,14448.236158
49,2018,1236.64209016667,14839.705082
49,2019,1269.64880658333,15235.785679
49,2020,1319.6825795,15836.190954
49,2021,1441.09996866667,17293.199624
49,2022,1581.28293858333,18975.395263
49,2023,1695.57666625,20346.919995
49,2024,1814.20847225,21770.501667
50,2015,796.876411833333,9562.516942
50,2016,821.043387783333,9852.5206534
50,2017,857.023164625,10284.2779755
50,2018,888.0094564,10656.1134768
50,2019,925.366146516667,11104.3937582
50,2020,974.506621091667,11694.0794531
50,2021,1058.41865401667,12701.0238482
50,2022,1159.131399,13909.576788
50,2023,1231.13373583333,14773.60483
50,2024,1292.32043133333,15507.845176
