"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Total","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Total","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Renter occupied (dollars)",
"310M300US31540","Madison, WI Metro Area","68497","2254","90895","2472","39265","2413",
"310M300US31700","Manchester-Nashua, NH Metro Area","76254","2139","98788","3901","44820","3292",
"310M300US31740","Manhattan, KS Metro Area","52720","4907","80977","5930","32190","5439",
"310M300US31860","Mankato-North Mankato, MN Metro Area","57833","5488","75514","4703","36486","3199",
"310M300US31900","Mansfield, OH Metro Area","44073","2979","53115","3462","31811","3699",
"310M300US32420","Mayagüez, PR Metro Area","15500","1859","21593","2680","6466","1363",
"310M300US32580","McAllen-Edinburg-Mission, TX Metro Area","36176","1801","44155","2935","23569","3077",
"310M300US32780","Medford, OR Metro Area","48563","2982","61027","3117","30970","3643",
"310M300US32820","Memphis, TN-MS-AR Metro Area","49809","1446","67766","2315","30914","923",
"310M300US32900","Merced, CA Metro Area","47739","3931","63336","5123","37681","3135",
"310M300US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","51362","402","66719","1088","37188","610",
"310M300US33140","Michigan City-La Porte, IN Metro Area","53507","4244","60838","5932","32376","8829",
"310M300US33220","Midland, MI Metro Area","57269","5100","65741","4209","35248","8685",
"310M300US33260","Midland, TX Metro Area","65224","4982","84763","10096","51051","8112",
"310M300US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","58029","1407","81455","1203","34030","1320",
"310M300US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","73231","899","92064","987","41268","701",
"310M300US33540","Missoula, MT Metro Area","46550","3420","64612","4476","31146","2765",
"310M300US33660","Mobile, AL Metro Area","45744","2458","57188","3092","26637","2211",
"310M300US33700","Modesto, CA Metro Area","54305","2381","73411","3889","35871","1858",
"310M300US33740","Monroe, LA Metro Area","38004","2411","51697","2910","23087","2204",
"310M300US33780","Monroe, MI Metro Area","60799","4601","69406","2983","32529","11089",
"310M300US33860","Montgomery, AL Metro Area","47265","2235","62346","2948","27666","2471",
"310M300US34060","Morgantown, WV Metro Area","50120","3623","65077","5985","28773","4803",
"310M300US34100","Morristown, TN Metro Area","44348","3690","51892","4159","24188","2678",
"310M300US34580","Mount Vernon-Anacortes, WA Metro Area","60983","3697","72729","5776","41232","4722",
"310M300US34620","Muncie, IN Metro Area","41041","3086","53760","4228","22122","3033",
"310M300US34740","Muskegon, MI Metro Area","44264","1790","51972","2233","24354","2616",
"310M300US34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","46787","1892","55745","2709","29283","2895",
"310M300US34900","Napa, CA Metro Area","75077","8742","97507","6456","56231","3655",
"310M300US34940","Naples-Immokalee-Marco Island, FL Metro Area","61228","3372","74062","4580","41827","3000",
"310M300US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","60030","1284","73965","1658","41044","1239",
"310M300US35100","New Bern, NC Metro Area","47710","3047","57967","6429","32614","6392",
"310M300US35300","New Haven-Milford, CT Metro Area","66176","1895","90477","2911","36931","1719",
"310M300US35380","New Orleans-Metairie, LA Metro Area","48804","1321","66663","1909","29337","2094",
"310M300US35620","New York-Newark-Jersey City, NY-NJ-PA Metro Area","71897","442","104163","1045","46256","528",
"310M300US35660","Niles-Benton Harbor, MI Metro Area","47083","2222","59508","3010","26787","2561",
"310M300US35840","North Port-Sarasota-Bradenton, FL Metro Area","53625","1657","59940","2050","40789","1550",
"310M300US35980","Norwich-New London, CT Metro Area","70699","2817","92311","4101","41464","5702",
"310M300US36100","Ocala, FL Metro Area","39383","1632","44273","2625","30411","2817",
"310M300US36140","Ocean City, NJ Metro Area","62548","5723","72209","6780","32205","4944",
"310M300US36220","Odessa, TX Metro Area","53254","5866","67604","8217","33642","7257",
"310M300US36260","Ogden-Clearfield, UT Metro Area","70227","2078","79991","2551","41464","2125",
"310M300US36420","Oklahoma City, OK Metro Area","55065","967","71992","1448","33941","1467",
"310M300US36500","Olympia-Tumwater, WA Metro Area","65783","2620","82422","3218","40901","2656",
"310M300US36540","Omaha-Council Bluffs, NE-IA Metro Area","62247","1366","83203","2049","36294","1290",
"310M300US36740","Orlando-Kissimmee-Sanford, FL Metro Area","52385","963","66186","1519","39248","1587",
"310M300US36780","Oshkosh-Neenah, WI Metro Area","56754","2217","72674","3437","32589","3984",
"310M300US36980","Owensboro, KY Metro Area","52328","3957","63547","3968","31059","2970",
"310M300US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","80135","2823","102447","2836","53269","2935",
"310M300US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","51184","1372","58053","2200","35097","3271",
"310M300US37460","Panama City, FL Metro Area","47548","3014","56165","4306","32170","7413",
"310M300US37620","Parkersburg-Vienna, WV Metro Area","46594","4801","57126","4576","28219","3471",
"310M300US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","50496","1760","63581","2301","34506","2129",
"310M300US37900","Peoria, IL Metro Area","57090","1650","71597","2122","29985","2249",
"310M300US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","65996","762","85555","991","38243","875",
"310M300US38060","Phoenix-Mesa-Scottsdale, AZ Metro Area","58075","803","72511","1270","41385","650",
"310M300US38220","Pine Bluff, AR Metro Area","37076","4932","47666","4705","23195","5908",
"310M300US38300","Pittsburgh, PA Metro Area","56063","857","69825","1077","32164","942",
"310M300US38340","Pittsfield, MA Metro Area","58418","5018","68383","5085","35230","5219",
"310M300US38540","Pocatello, ID Metro Area","48429","2865","60522","4214","26448","5410",
"310M300US38660","Ponce, PR Metro Area","17533","978","22889","1116","8254","1356",
"310M300US38860","Portland-South Portland, ME Metro Area","63422","3106","77723","2827","37555","3370",
"310M300US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","68676","1175","89894","1829","43472","1616",
"310M300US38940","Port St. Lucie, FL Metro Area","48746","2385","54915","3044","33639","4981",
"310M300US39140","Prescott, AZ Metro Area","50420","2583","55103","3072","34661","4185",
